English,Kikuyu
• Average Length: 10.5 cm by 7.9 cm in width. Weight: 280g (Small/Medium).,Uraihu wa gatagatī: 10.5cm na warīe wa 7.9cm. Urītū wa 280g (manini/gatagatīini)
What are the advantages of van dyke mango fruit variety?,Ni mawega marīku makoragwo na mūthemba wa maembe wa van dyke?
"Good resistance to Anthracnose and Powdery Mildew, regular bearer","Nī metiragia mīrimū ya Anthracnose na Powdery mildew, na nī maciaraga marūmanīrīirīe"
What are the charactristics of sensation mango fruit variety?,Mūthemba wa maembe wa sensation ūkorago na mūtugo ūrīkū?
"“Sensation”: Oval/oblique, deep yellow colour with a prominent dark-red to purple blush. Average Length: 10.8 cm by 7.8 cm in width. Weight: 307g (Medium).","Nī ma mūhiano wa itumbī, rangi wa ngoikoni na mīkurura mītune mīcamu īhakūhī kūhana purple.
 Uraihu wa gatagatī: 10.8cm na warīe wa 7.8cm. Urītū wa 307g (gatagatī)"
What are the advantages of sensation mango fruit variety?,Nī mawega marīku makoragwo na mūthemba wa maembe wa sensation?
"Beautifully coloured late cultivar, none to scanty fibres, heavy yielder","Nī ithaka na rīciaraga rīcereirwo kīmera-inī, rīrī fibre kana rīngī no rīkorwo rīrī na tūnini na nīriciaraga mūno"
What are the characteristics of sabine mango fruit variety?,Mūthemba wa maembe wa sabine ūkorago na mūtugo ūrīkū?
"Elongated, bright yellow colour with a dark red blush.","Nī iraihu, rangi mūkengu wa ngoikoni na mīkurura mītune mīcamu."
• Average Length: 14.2 cm by 6.6 cm in width. Weight: 435g (Medium/large).,Ūraihu wa gatagatīi: 14.2cm na warīe wa 6.6cm. Urītū wa 435g (gatagatī/nene)
What are the advantages of sabine mango fruit variety?,Nī mawega marīku makoragwo na mūthemba wa maembe wa sabine?
"Only slightly affected by Anthracnose and Powdery Mildew, no distinct biennial bearing, no fibres","Nī mahinyagīrīrīo hanini nī mīrmū ya Anthracnose na Powdery mildew, kaingī maticiaraga maita merī makwa na matirī fibre"
What are the characteristics of haden mango fruit variety?,Nī mawega marīku makoragwo na mūthemba wa maembe wa haden?
": Bright yellow colour with deep crimson or red blush, numerous large whitish/yellow glands.","Makoragwo na rangi wa ngoikoni mūkengu na mīkurura mītune mīcamu, na maroro merū manene"
Average Length: 10 cm by 8 cm in width. Weight: 431g (Medium/large),Uraihu wa gatagatīini: 10cm na warīe wa 8cm. Urītū wa 431g (gatagatīini/nene)
What are the advantages of haden mango fruit variety?,Ni mawega marīku makoragwo na mūthemba wa maembe wa Haden?
"Excellent fruit quality, suitable for commercial plantings, good shipper","Nī īrī matuda ma gīkīro kīa īguru, no mahandwo marī ma biacara, na nī mega ūkui-inī."
What are the characteristics of maya mango fruit variety?,Mūthemba wa maembe wa maya ūkorago na mūtugo ūrīkū?
"Ovate and plumb, yellow colour with a reddish blush.","Me mūhiano wa itumbī icomoku, rangi wa ngoikoni na mīkurura mītune."
Average Length: 10.3 cm by 7.8 cm in width. Weight: 295g (Medium).,Uraihu wa gatagatīini: 10.3cm na warīe wa 7.8cm. Urītū wa 295g (gatagatīini)
What are the optimal ecological requirements for mango fruits production?,Maembe makūra wega matūra-inī marī na rīera rīhana atīa?
"0 – 1,500 meter above sea level;500 – 1,000 mm of rainfall annually.","Kuuma mita 0 – 1,500 iguru ria maaī ma īrīa; 500 – 1,000 mm cia mbura o mwaka"
"24 – 27 0C.Sandy, loam, black cotton and even murram soils","Ūrugarī wa 24 – 270C. Tīīrī mūthemba wa Sand, loam, black cotton, na murram."
"•Well drained, deep soils
• pH range 5.5 – 7.5","tīīrī ūrahetūkia maaī wega
 ph ya kuuma 5.5 - 7.5"
How do prepare land before planting mango fruits?,Muguda wa kūhada maembe ūharagīrīrīo atīa?
Slashing weedy fields and removal of stumps of shrubs,Fieka ria na weheria ithukī na īthaka
"• In some cases, hoeing to loosen the soil is done before planting/transplanting","Rīmwe, no ūrīme nīgūo kuororoia tīīrī ūtanahanda"
"• On a slope if irrigation is required, construction of drainage channels and choice of proper orchard layout system (square, hexagonal etc.) are done","Kūria ūrīmī wa maaī ūrahūthika na nī kudū īgūrū, weji wa mītaro ya kuhetūkia maaī ni ubatīe na gucagura ūrīa muguda ūgūikara ni wa bata( square hexagonal harī ingī)"
"• In wind prone zones, the planting of windbreak rows of fast growing trees is necessary ideally 2 – 3 years before establishment of the orchard","Macigīrīra marīa marī huho nene, na mabatīe kūhadwo mitī ya gūkūra na ihenya kūgīrīrīa uritū wa huho mbere ya gūthura harīa maembe mekuhadwo."
What is the recommended spacing for mango fruits?,Ūtaganu wakūhanda mīembe ūrīa wagīrīire nī ūrīkū?
"Range from 9 x 9 m to 13 x 13 m depending on growth characteristic of the individual variety, the type of soil, and agroecological conditions","Kuuma 9 x 9 m nginya 13 x 13 na ūringanaga na mūthemba wa mūembe, tīīri na rīera rīa itūra."
How do i prepare holes for mango fruit planting?,Batīī kuharīrīa atīa marīma ma kūhada mīembe?
Hole Size: 60 x 60 x 60 cm. Separate the topsoil and the subsoil,Saizī ya marīma 60 x 60 x 60cm. Tigithūnikania tīīrī wa igūru na wa thīinī
How do i apply manure for mango fruit planting?,Batiī gūīkīra thumu wa kūhanda mīembe atia?
"After the preparation of planting holes, apply manure/compost and basal fertilizer. Mix thoroughly with topsoil","Thutha wa kūharīria marima ma kūhanda, īkīra thumu wa gūthondeka na mahuti na bataritha ūcoke ūtukanie na tiiri mūnoru wa igūrū."
What is the rate of manure application in mango fruit growing?,Hihi gīthimi kīega gīa gūīkīra mīembe-inī nī kīrīkū?
Topsoil is mixed with two debes (40 kg per hole = 4 tons per īka) of well decomposed manure and 125 g of TSP or DSP before refilling the hole,Tīri mūnoru wa igūrū ūtukanagio na marebe meeri (kiro 40 o irima = tani 4 o īka) ma thumu mūhīu wega na gramu 125 cia bataraitha mūthemba wa TSP kana DSP mbere ya kūihūria irima na tīīri.
What are the factors to consider in nursery site selection for mango fruits?,Nī maūndū marīkū batiī kūrora hīndī ya gūthura handū ha gūthondeka natharī ya mīembe?
Nearness to quality water source,Hakuhī na maaī mega.
• Good drainage,• Tīīrī ūrahītūkia maaī
"• Security against animals, thieves etc.","• Ūgitirī kuumana na nyamū, aici na maūndū mangī."
"• Availability of wind breaks (Casuarina, Grevillea etc.)","• Ngiri cia kūhinga huho (Casuarina, Grevillea na mīthemba īngī)"
• Accessibility to the road,• Ūkinyanīria wa barabara
How do i prepare nursery for mango seeds planting?,Batiī kūharīria natharī ya mīembe atīa?
Prepare a seedbed of width 1 m and a desirable length by removing farm soil from the seedbed to a depth of 30 cm and refill the 30 cm depression with sand,Thondeka natharī ya wariī wa mita īmwe na ūraihu ūrīa ūkwenda na njīra ya kweheria tīīrī nginya ūriku wa sentimita mīrongo ītatū ūcoke wīihūrie irima rīu na mūthanga.
How do i prepare mango seed for planting?,Batiī kūharīria mbegū cia mīembe atīa mbere cia kūhanda?
Pick fruit from the tree rather than from off the ground,Thura maembe ma gūkūhe mbegū kuuma mūtī igūrū kūrī kūngania marīa magwīte thīī.
"• Mango seed should be healthy, fresh and not dried at the time of planting","• Mbegū ya maembe ībatiī gūkorwo ītari na mīrimū, matarī maikaru kuuma matuo na matarī momū hīndī ya kūhanda."
"• Seeds must be taken from ripe fruits of mature, healthy and vigorous trees","• Mbegū no nginya ciume kuuma kūrī maembe meru ma mītī mīkūrū, ītarī na mīrimū na īrīa īrakūra wega."
What are the cultivars used as root stocks in mango grafting?,Itina iria ihūthagīrwo gūciarithania mīembe nī irīkū?
"Cultivars used as rootstocks are: Peach, Sabre, Sikio punda and Dodo","Itina njega ciumaga kūrī: peach, sabre, sikio, Punda na Dodo"
"What are the features (yields, average weight and flavor) of Sabine mango variety?","Nī ngumo irīkū (cia maciaro, ūritū na mūcamo) ikoragwo na maembe mūthemba wa Sabine?"
Sabine is a late maturing variety that bears fruits regularly.,Sabine nī mūthemba ūkūraga ūrī mūcerere na kaingī ūciaraga ūtagūtīīrīria.
The tree has a vigorous growth with dense canopy.,Mūtī wa sabine ūkūraga naihenya na ūkoragwo ūrī mūtumanu.
The Sabine Variety has some resistance to powdery mildew and anthracnose.,Mūthemba wa Sabine nīūhotaga gūītiria mīrimū ya powdery mildew na anthracnose.
The Sabine variety is best suited for cultivation in mid altitudes.,Mūthemba wa Sambine ūkūraga wega matūra-inī matarī īrīma-inī nene.
It produces fruits that are medium to large size.,Ūciaraga maembe matarī manene mūno ona gūtwīka no manenehe.
They elongated in shape measuring 14.2cm and 6.6 cm.,Makoragwo marī magucūku na ithimo cia sentimita 14.2 na 6.6.
The ripe fruits have a blight yellow and a red blush.,Ikoro rīa maembe meeru rīkoragwo na rangi ūrakenga wa ngoikoni na mīkurura mītune.
"The flesh is yellow, juicy, fibreless and with a mild flavour.","Nyama ya itunda nī ya rangi wa ngoikoni, nīīrī cama, ndīrī ndigi na mūtararīko ūtarī mūnene."
"What are the features (yields, average weight and flavor) of Haden mango variety?","Nī ngumo irīkū (cia maciaro, ūritū na mūcamo) ikoragwo na maembe mūthemba wa Haden?"
Haden is a high yielding and early season mango variety.,Haden nī mūthemba ūciaraga mūno na ūkūraga tene kīmera kīambīrīria.
The tree grows large and has a spreading canopy.,Mūtī nīūnenehaga na honge igakūra itambūrūkīte.
"However, its susceptible to anthracnose.","No ona kūrī ūgūo, nīūtoragio nī mūrimū wa anthracnose."
The variety is best suited for cultivation in mid altitude areas.,Mūthemba ūyū ūkūraga wega matūra-inī matarī irīma-inī nene.
The fruits are medium to large sized and are ovate in shape.,"Maembe ma Handen nī manenehaga, na makoragwo na mūhano wa itumbī icomoku."
The fruit skins have a deep yellow with a deep crimson/red blush with whitish/yellow lenticels.,Makoro ma Haden nī ma rangi wa ngoikoni īrahenia na mīkurura mītune mīcamu īkūnīkītwo nī makanyakanya merū kana ma rangi wa ngoikoni.
"The flesh is deep yellowish orange, juicy and with an excellent aroma.","Nyama ya iembe rīrī nī ya rangi wa orange, īī cama na mūnungo mwega mūno."
"What are the features (yields, average weight and flavor) of Sabre mango variety?","Nī ngumo irīkū (cia maciaro, ūritū na mūcamo) ikoragwo na maembe mūthemba wa Sabre?"
Sabre is a high yielding and early harvesting mango variety.,Sabre nī mūthembe ūciaraga mūno na ūkūraga tene kīmera kīambīrīria.
The tree is medium size and fairly resistant to diseases.,Mūtī wa sabre ndūnenehaga mūno na nī wītiragia mīrīmū wega.
It is used as a rootstock to other mango varieties.,Gītina gīa Sabre nīkīhūthagīrwo gūciarithania maembe mīthemba īngī.
The Sabre is an excellent rootstock variety that is used to create dwarfism in other varieties.,Sabre nī mūthembe wī gītina kīega kīa ndūire kīrīa kīhūthīkaga gūkuhīhia mīthemba īngī ya mīembe.
"The fruits are medium sized (average weight 180-290g), kidney-shaped with a prominent beak (average length 11.8cm and width 6.9cm).","Maembe ma sabre nī ma ūnene wa gatagata-inī (gramu 180-290), memūhano wa higo na mūthia mūcomoku (ūraihu wa sentimita 11.8 na wariī wa sentimita 6.9)."
They are yellow-green with a reddish blush.,Makoro nī marangi wa ngoikoni na ngirini na mīkurura mītune.
"The flesh is deep orange, juicy with moderate fibre and a turpentine after-taste","Nyama ya iembe rīa sabre nī rīa rangi mūcamu wa orange, rī mūcamo mwega na ndigi nini na nīrītigaga mūcamo wa turpentine kanua."
"What are the features (yields, average weight and flavor) of Peach mango variety?","Nī ngumo irīkū (cia maciaro, ūritū na mūcamo) ikoragwo na maembe mūthemba wa Peach?"
Peach also known as Zill Mango is a high yielding and early mango variety.,Peach nī mūthemba wa iembe ūīkaine ta Zill ūrīa ūciaraga mūno na ūkūraga tene kīmera-inī.
The peach tree has a medium size and are fairly resistant to diseases.,Mūembe wa Peach ndūnenehaga mūno na nī wītiragia mīrimū.
It is a common stock used as a rootstock to other mango varieties.,Nī mūthemba ūhūthīkaga kaingī ta gītina gīa gūciarithania mīembe mīthemba īngī.
The fruits are small sized with an average weight of 80-100g.,Maembe ma peach makoragwo manini na makinyagia ūritū wa gramu 80-100.
They are round-shaped with a depressed beak (average length 5.8cm and width 3.9cm).,Memūhano wa mūbira na mūthia ūtarī mūcomoku (ūraihu wa sentimita 5.8 na wariī wa sentimita 3.9).
They are brown-green with a reddish blush.,Ikoro nī rīa rangi wa gītīri kana ngirini na mīkurura mītune.
"The flesh is deep orange, juicy with fibre and a sweet-taste","Nyama ya īkoragwo na rangi mūcamu wa orange, mūcamo mwega na nīrīrī ndigi."
"What are the features (yields, average weight and flavor) of Kitovu mango variety?","Nī ngumo irīkū (cia maciaro, ūritū na mūcamo) ikoragwo na maembe mūthemba wa Kitovu?"
Kitovu mango is a local mango variety commonly grown in Uganda and Tanzania.,Kitovu nī mūthemba wa kīndūire ūrīa ūkūragio mūno mabūrūri-inī na Uganda na Tanzania.
Kitovu is a high yielding and early variety (December-April).,Kitovu nī mūthemba ūciaraga mūno na ūkūraga tene kīmera-inī. (Dithemba nginya April)
"The fruits are small sized (average weight 100-150g), kidney-shaped with a prominent end (average length 6.8 cm and width 4.9 cm).","Maembe ma kitovu nī manini(ūritū wa gramu 100-150), mūhano wa higo na mūthia mūcomoku wega (ūraihu wa sentimita 6.8 na wariī wa sentimita 4.9)."
They are yellow-green with a greenish blush.,Makoragwo marī na rangi wa ngoikoni na ngirini na mīkurura ya ngirini.
"The flesh is deep orange, juicy with fibre and a turpentine after-taste.","Nyama ya kitovu īkoragwo īrī ya rangi ni ya icungwa rigwatu, mari cukari na ni mari cama muno"
The tree is medium size and fairly resistant to diseases.,Mūembe wa kitovu ndūnenehaga mūno na nī wītiragia mīrimū.
It is used as a rootstock to other mango varieties,Nī mūthemba ūhūthīkaga ta gītina gīa gūciarithania mīembe mīthemba īngī.
"What are the features (yields, average weight and flavor) of Kimji mango variety?","Nī ngumo irīkū (cia maciaro, ūritū na mūcamo) ikoragwo na maembe mūthemba wa Kimji?"
Turpentine also known as Manila mango variety is a high yielding variety that can withstand high salt levels compared to the rest.,Mūthemba wa maembe wa Turpentine ūrīa woīkaine ta Manila ūciaraga mūno na nīūhotaga gwītiria tīri wīna cuumbī mūrūrū gūkīra mīthemba īngī ya maembe.
"The fruit is small, round to ovate in shape and yellow in colour.",itunda nī inini rīa gīthiūrūrī kana mūhano wa itumbī rīcomoku na nī rīa rangi wa ngoikoni
"The yellow flesh is extremely fibrous, with a common classic flavour.",Thīinī wa itunda riri rangi nī wa ichungwa na nīrīrī ndigi mūno na rīrī mūcamo ūmwe ūkūrīkanīte
"Some turpentines carrying a stronger resin component while others sweeter, and with tolerable fibre.","Turpentine imwe nī irī resin īna hinya na iri ingī nī irī cama mūno, na ndigi bacirīre"
The tree exhibits dwarfing characteristics and fairly resistant to diseases. It is used as a rootstock to other mango varieties,nī wītiragia mīrimū na nī ūhūthīkaga ta gītina harī gūciarithania mītī īngī
What mango varieties are dwarf?,Nī mīthemba īrīkū ya maembe ikoragwo mīkuhī?
"Dwarf varieties include Peach and Sabre, they have been developed by Kenya Agriculture and Livestock Research Organisation (KALRO).","Mīthemba īno mīkuhī ya maembe nī hamwe na Peach na Sabre, īrīa īthondeketwo na īgathuthurio nī Kenya Agriculture and Livestock Research Organisation (KALRO)."
The varieties are developed by grafting superior varieties onto local varieties.,Mīthemba īno īthondeketwo na gūciarithania mītī mīega ya kwendeka na mītī ya tene.
Dwarf mango trees are ideal for small backyard gardens and their compact nature means that they will only reach 10 to 13 feet (three to four metres) tall.,Mītī īno mīkuhī nī mīega mūno harī mīgūnda mīnini na nīūndū wa ūnyihu ūyū nī kuuga atī īgūkinya fiti 10 nginya 13 (MITA 3 nginya 4 harī ūraihu)
Their small size also means that you can easily cover them with netting to keep the birds away or grow them in a greenhouse in cooler climates.,Ūnini ūyū wa matunda maya nī mwega tondū nī ūkūmahumbīra na neti nīguo kūgirīrīa nyoni kana gūkūrīria thīinī wa greenhouse kūrīa kūrī rīera rīega
Which varieties of Mangoes Grown in Kenya?,Nī mīthemba īrīkū ya maembe ikūragio kenya?
"Mango varieties grown in Kenya include Apple, Ngowe, Kent, Keitt, Tommy Artkins, Van Dyke, Haden, Sensation, Boribo, Sabine among others.","Mīthemba ya maembe īrīa īkūragio Kenya nī ; Apple, Ngowe, Kent, Keitt, Tommy Artkins, Van Dyke, Haden, Sensation, Boribo, Sabine na mangī maaīngī"
"Main characteristics that differentiate varieties are the fruit shape, size, aroma, sweetness, colour, fibre content, taste, seed size and resistance to diseases.","Maūndū ma kŪrora nīgūo gūtigithūkania mīthemba ya maembe nī mūhianīre wa itunda, ūraihu, mūnungo, cukari, rangi, mūigana wa ndigi, cama, ūnene wa mbegū na gūītiria mīrimū"
Proper selection of a mango cultivar for production has to take into account the following criteria:,Ūgīcagūra ihembe rīa kuhanda rīna maciaro mega no nginyagia ūrore maūndū maya:
good adaptation to the local conditions (e.g. rainfall and dry periods),Gūtwarana wega na rīera rīa kūu (mbūra na hīndī ya riūa)
alternation of flowering and fruiting,Gūcenjania harī kūruta mahūa na kūruta matunda
tolerance to pest and disease infections,Gwītiria tūtambi na mīrimū
designated use and market requirements,Ūrīa itunda rīrenda kūhūthīrwo na ūrīa thoko īrenda
Mango varieties in Kenya,Mīthemba ya maembe īrīa rīa īī Kenya
"Kenyan mango varieties also referred to as mango cultivars, are divided into 3 categories.",Mīthemba ya maembe gūkū Kenya nīūīkaine ta maembe ma kūhanda īgayanītio maita matatū
"There are:-
Early maturing – these mango cultivars mature from November to mid-January.","Na nīmo:-
Marīa maciaraga tene- maembe maya maciara kwambīrīria kīa November ngigya gītagatī kīa January."
"In this category, we have Haden Mangoes, Ngowe Mangoes, Dodo Mangoes, Kensington Mangoes, Zill, and Apple Mangoes.","Harī kīwango gīkī nīharī maembe ta Haden, Ngowe, Dodo, Kensington,Zill na ma Apple"
Midseason – These mature between mid-January and late February.,Maembe marīa maciaraga gatagatī-inī ga kīmera - maya makūraga gatagatī-inī ka mweri wa Janūari nginya mwisho-inī wa Feburuarī
"Under this mango cultivar category, we have Sabine Mangoes, Peach Mangoes, Sabre Mangoes, Tommy Atkins Mangoes, Matthias Mangoes, Irwin Mangoes, Van Dyke Mangoes, Boribo Mangoes, and Smith Mangoes","Harī mūthemba ūyū kūrī maembe ta Sabine Peach, Sabre, Tommy Atkins, Matthias, Irwin, Van Dyke, Boribo, na Smith."
"Late maturing – There mature between Late February and April. They include Kent Mangoes, Sensation Mangoes, Zillate Mangoes and Keitt Mangoes.","Maciaraga macereirwo kīmera-inī- maya makūraga mūicoinī wa kīmera, Janūari īgīthira nginya April. Maembe macio hamwe na Kent, Sensation, Zillate na Keitt"
